date,shapeID,shapeName,mapping_method,gefs_mean_mm,gefs_max_mm,observed_mean_mm,observed_max_mm,heavy_probability_mean,heavy_probability_max,very_heavy_probability_max,grid_cells,risk_level,very_heavy_experimental,correction_raw_mean_mm,global_corrected_mean_mm,global_corrected_max_mm,regime_corrected_mean_mm,regime_corrected_max_mm,regime_adjustment_mm,global_adjustment_mm
2018-07-27,76128533B15567489974292,Baramula,contained_grid,5.8233337,6.7200003,2.1295831,2.7599995,0.0008880738,0.0012274344,0.00015748128,3,Low Modelled Signal,False,5.8233337,0.730395,1.3255925,0.72004795,1.310072,-5.103286,-5.092939
2018-07-27,76128533B15601995412161,Simdega,contained_grid,17.47,23.400002,3.9570312,6.2,0.02371464,0.028689487,0.0019894643,8,Low Modelled Signal,False,17.47,12.075592,18.005594,12.060072,17.990074,-5.4099274,-5.3944073
2018-07-27,76128533B1566053393466,Tikamgarh,contained_grid,4.6700006,6.1800003,5.440178,14.734998,0.0068054325,0.010216327,0.00021165132,7,Low Modelled Signal,False,4.6700006,0.17445496,0.78559256,0.1700205,0.770072,-4.49998,-4.4955454
2018-07-27,76128533B15835290978888,Jalaun,contained_grid,6.5716667,13.570001,4.6662498,7.2287498,0.01361828,0.019821215,0.0013719036,6,Low Modelled Signal,False,6.5716667,2.3711295,8.175592,2.3633692,8.160072,-4.2082977,-4.200537
2018-07-27,76128533B15993411864574,Durg,contained_grid,1.7024999,2.6499999,1.8765625,2.415,0.00046022702,0.0005999935,6.729689e-05,4,Low Modelled Signal,False,1.7024999,0.0,0.0,0.0,0.0,-1.7024999,-1.7024999
2018-07-27,76128533B1621599562140,Koriya,contained_grid,15.723334,29.58,2.1158333,4.4849997,0.016949764,0.032140654,0.0010616434,12,Low Modelled Signal,False,15.723334,10.328926,24.185593,10.313405,24.17007,-5.4099293,-5.394408
2018-07-27,76128533B16271917438029,The Dangs,contained_grid,5.5766664,6.21,0.16,0.29749998,0.002992029,0.0040743453,0.00015820464,3,Low Modelled Signal,False,5.5766664,0.2718641,0.8155923,0.26669058,0.8000717,-5.3099756,-5.3048024
2018-07-27,76128533B1629699732681,Ramanathapuram,contained_grid,0.11333334,0.48000002,0.12208333,0.525,0.00013197312,0.00017101753,2.0409721e-05,6,Low Modelled Signal,False,0.11333334,0.0,0.0,0.0,0.0,-0.11333334,-0.11333334
2018-07-27,76128533B16442413169750,Mumbai,nearest_grid,5.21,5.21,1.3199999,1.3199999,0.0048016524,0.0048016524,0.00019849937,1,Low Modelled Signal,False,5.21,0.0,0.0,0.0,0.0,-5.21,-5.21
2018-07-27,76128533B1645877589145,Tiruchirappalli,contained_grid,0.165,0.59000003,0.08708333,0.295,0.00012435684,0.0001776089,1.9112238e-05,6,Low Modelled Signal,False,0.165,0.0,0.0,0.0,0.0,-0.165,-0.165
