shapeID,shapeName,mapping_method,geographic_grid_cells,elevation_mean_m,elevation_max_m,terrain_relief_mean_m,terrain_relief_max_m,slope_mean_degrees,slope_max_degrees,distance_to_coast_min_km,distance_to_coast_mean_km,coastal_fraction_25km,coastal_fraction_50km,coastal_fraction_75km,coastal_fraction_100km,coastal_fraction_150km,orographic_cell_fraction,coastal_orographic_fraction,dominant_geographic_regime_code,coastal_district_75km,orographic_district,dominant_geographic_regime
76128533B64217423710469,Bageshwar,contained_grid,5,2325.2131,7280.0,1532.387,2810.6055,2.0513215,3.234519,1060.7333,1084.8857,0.0,0.0,0.0,0.0,0.0,1.0,0.0,2,False,True,Interior orographic
76128533B64596101949699,Kaithal,contained_grid,3,236.00407,250.0,8.662593,12.403336,0.019440392,0.021023542,881.64624,893.32404,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,False,False,Interior plain
76128533B64732849735713,Jaunpur,contained_grid,4,86.88167,98.0,5.1183357,6.046669,0.009935874,0.012901695,631.4252,647.79425,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,False,False,Interior plain
76128533B64749652826710,Debagarh,contained_grid,3,274.57443,718.0,424.0922,489.72888,0.15210296,0.27476218,180.58553,189.69794,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,False,False,Interior plain
76128533B64834018186186,Vidisha,contained_grid,10,453.53345,575.0,72.06655,127.77112,0.07880136,0.14271188,499.27295,532.2455,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,False,False,Interior plain
76128533B64881202564500,Jiribam,nearest_grid,1,62.044445,685.0,622.95557,622.95557,0.45442477,0.45442477,252.04723,252.04723,0.0,0.0,0.0,0.0,0.0,1.0,0.0,2,False,True,Interior orographic
76128533B64898456093948,Dhaulpur,contained_grid,5,213.99866,363.0,63.00133,92.903336,0.08193747,0.11717709,633.11456,669.121,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,False,False,Interior plain
76128533B64903504311414,Hnahthial,contained_grid,1,813.2889,1732.0,918.7111,918.7111,0.42611763,0.42611763,127.066574,127.066574,0.0,0.0,0.0,0.0,1.0,1.0,0.0,2,False,True,Interior orographic
76128533B64905184636422,Tumkur,contained_grid,12,742.7883,1197.0,198.96167,383.2967,0.14516903,0.2275172,173.4871,226.78253,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,False,False,Interior plain
76128533B65773363805797,Kishanganj,contained_grid,2,56.519447,68.0,10.980555,11.688889,0.04392188,0.044294897,377.75232,385.40164,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,False,False,Interior plain
76128533B65820903826030,North District,contained_grid,7,4278.0146,8121.0,1683.9854,2862.1724,2.0346203,3.1954043,461.16714,493.4903,0.0,0.0,0.0,0.0,0.0,1.0,0.0,2,False,True,Interior orographic
76128533B66072086060089,Jhansi,contained_grid,8,202.91945,319.0,42.580555,71.49333,0.077858254,0.10452882,648.06445,699.55676,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,False,False,Interior plain
76128533B66125202864966,Dima Hasao,contained_grid,7,444.11554,1689.0,601.4559,1162.49,0.57644075,1.146993,288.88135,309.1966,0.0,0.0,0.0,0.0,0.0,0.5714285714285714,0.0,2,False,True,Interior orographic
76128533B66134271591289,Balaghat,contained_grid,13,501.08658,918.0,224.75958,412.96335,0.23061705,0.38451427,495.4391,538.3408,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,False,False,Interior plain
76128533B66145460152555,Bijapur,contained_grid,12,302.98843,923.0,284.51157,509.10223,0.20375617,0.43387938,190.14809,251.2901,0.0,0.0,0.0,0.0,0.0,0.08333333333333333,0.0,0,False,False,Interior plain
76128533B66335428496945,Shivpuri,contained_grid,17,370.33163,503.0,69.96248,141.68445,0.1225842,0.19974016,548.49384,600.2073,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,False,False,Interior plain
76128533B66411945144923,Longleng,contained_grid,1,769.56775,1889.0,1119.4323,1119.4323,1.3467637,1.3467637,509.843,509.843,0.0,0.0,0.0,0.0,0.0,1.0,0.0,2,False,True,Interior orographic
76128533B66426066081507,Bhojpur,contained_grid,3,69.01815,90.0,10.64852,13.074448,0.024247697,0.028382583,460.44083,466.9283,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,False,False,Interior plain
