date,geographic_regime_code,geographic_regime,valid_pairs,mean_rainfall_mm,bias_mm,mae_mm,rmse_mm,correlation,agreement_score
2018-07-11,1,Coastal plain,479.0,21.094167709350586,5.953301906585693,16.694459915161133,25.407455444335938,0.6156007390383083,0.5776845216751099
2018-07-11,2,Interior orographic,943.0,8.317018508911133,0.27210313081741333,9.480640411376953,17.742937088012695,0.16347736299050478,0.6684575080871582
2018-07-11,3,Coastal orographic,102.0,40.9058723449707,-9.079819679260254,21.85970687866211,31.17227554321289,0.7382412875220083,0.6461170315742493
2018-07-12,0,Interior plain,3108.0,11.429224014282227,3.250609874725342,13.03973388671875,21.112777709960938,0.18771604845749165,0.6009140610694885
2018-07-12,1,Coastal plain,479.0,21.04564094543457,0.3675875961780548,16.08692169189453,26.482810974121094,0.6107514850297789,0.655829906463623
2018-07-12,2,Interior orographic,943.0,7.414038181304932,3.486872911453247,8.070836067199707,14.442336082458496,0.36116457678981095,0.6720767021179199
2018-07-12,3,Coastal orographic,102.0,30.396778106689453,-18.076032638549805,26.179771423339844,36.429874420166016,0.49226352070070617,0.5893213748931885
2018-07-13,0,Interior plain,3108.0,10.509886741638184,0.0267145074903965,10.975273132324219,18.635433197021484,0.2614825752504018,0.6266756653785706
2018-07-13,1,Coastal plain,479.0,17.77077865600586,-7.591486930847168,14.296603202819824,26.141637802124023,0.6943625861184801,0.6607054471969604
2018-07-13,2,Interior orographic,943.0,8.540986061096191,-1.2472721338272095,10.346424102783203,16.66976547241211,0.12177816893080455,0.6078478693962097
2018-07-13,3,Coastal orographic,102.0,27.269447326660156,-16.566564559936523,22.165557861328125,31.87567901611328,0.6508357749566381,0.570625901222229
2018-07-14,0,Interior plain,3108.0,9.60273551940918,1.5544323921203613,10.406620979309082,16.668819427490234,0.26871263016047914,0.6224643588066101
2018-07-14,1,Coastal plain,479.0,18.50297737121582,3.931001663208008,17.552412033081055,26.97154998779297,0.4861397081630149,0.5896404981613159
2018-07-14,2,Interior orographic,943.0,5.817452430725098,0.7892922759056091,7.004628658294678,12.157208442687988,0.277189402320396,0.6652565598487854
2018-07-14,3,Coastal orographic,102.0,27.812095642089844,-20.670400619506836,33.34706497192383,43.4698371887207,-0.031040052748083028,0.46208199858665466
2018-07-15,0,Interior plain,3108.0,9.311342239379883,2.157499313354492,10.6901216506958,18.61239242553711,0.2795703120715182,0.632211446762085
2018-07-15,1,Coastal plain,479.0,25.635570526123047,-0.815148651599884,20.098031997680664,33.28170394897461,0.5342131906672994,0.6131259799003601
2018-07-15,2,Interior orographic,943.0,8.80266284942627,2.140463352203369,9.094122886657715,16.352182388305664,0.4727470287091457,0.6760557293891907
2018-07-15,3,Coastal orographic,102.0,40.49028396606445,-5.605682849884033,34.51367950439453,45.39346694946289,0.30988546947496115,0.5147013664245605
2018-07-16,0,Interior plain,3108.0,11.205145835876465,3.0276811122894287,12.898539543151855,21.52410125732422,0.27258908823452427,0.6202529072761536
2018-07-16,1,Coastal plain,479.0,27.1616153717041,-1.3979344367980957,22.792280197143555,36.37354278564453,0.506293648154273,0.5980527400970459
2018-07-16,2,Interior orographic,943.0,10.185608863830566,0.9521481394767761,12.09349536895752,22.694183349609375,0.26902541752300935,0.6254157423973083
2018-07-16,3,Coastal orographic,102.0,39.657081604003906,-26.60382652282715,35.96004104614258,53.25677490234375,0.508418199248471,0.5437833666801453
2018-07-17,0,Interior plain,3108.0,8.979714393615723,-4.522521018981934,10.209320068359375,18.20247459411621,0.3576099113922519,0.6471152901649475
2018-07-17,1,Coastal plain,479.0,22.61488914489746,-17.406003952026367,26.290006637573242,43.80891418457031,0.41874416616515187,0.5525985360145569
2018-07-17,2,Interior orographic,943.0,7.184884071350098,-3.395317316055298,8.192520141601562,13.66809368133545,0.4043204175545242,0.6461492776870728
2018-07-17,3,Coastal orographic,102.0,29.161144256591797,-29.426284790039062,32.326080322265625,47.892337799072266,0.42917121336211084,0.499699205160141
2018-07-18,0,Interior plain,3108.0,6.942769527435303,0.7669104337692261,8.328448295593262,16.48960304260254,0.31556643662371453,0.6896334886550903
2018-07-18,1,Coastal plain,479.0,16.02846908569336,-13.56190299987793,17.167695999145508,36.00965881347656,0.6298982102238984,0.6481326818466187
2018-07-18,2,Interior orographic,943.0,5.426578521728516,-3.9660792350769043,7.356720924377441,12.960996627807617,0.09437256595573427,0.6644514799118042
2018-07-18,3,Coastal orographic,102.0,20.347436904907227,-21.842294692993164,24.011913299560547,37.162925720214844,0.3380722380773735,0.5784949064254761
2018-07-19,0,Interior plain,3108.0,6.693448543548584,1.250428318977356,8.567451477050781,16.30841636657715,0.19499027112180053,0.6824365258216858
2018-07-19,1,Coastal plain,479.0,11.787372589111328,2.3481459617614746,12.778687477111816,19.824169158935547,0.32327585708014606,0.5916414260864258
2018-07-19,2,Interior orographic,943.0,3.835627555847168,0.790836751461029,5.263177871704102,10.121373176574707,0.20012207506775054,0.7090920805931091
