shapeID,shapeName,date,mapping_method,gefs_mean_mm,gefs_max_mm,observed_mean_mm,observed_max_mm,heavy_probability_mean,heavy_probability_max,very_heavy_probability_max,grid_cells,risk_level,very_heavy_experimental,correction_raw_mean_mm,global_corrected_mean_mm,global_corrected_max_mm,regime_corrected_mean_mm,regime_corrected_max_mm,regime_adjustment_mm,global_adjustment_mm
76128533B20752885472650,Bankura,2018-07-27,contained_grid,6.1554546,13.040001,13.645908,24.885002,0.018508641,0.055585999,0.001732978,11,Low Modelled Signal,False,6.1554546,1.8793064,7.6455932,1.8736628,7.6300726,-4.2817917,-4.2761483
76128533B96584288929219,Banswara,2018-07-27,contained_grid,4.1966667,4.6700001,0.037708331,0.13624999,0.0024359666,0.005447648,0.00064094918,6,Low Modelled Signal,False,4.1966667,0.0,0.0,0.0,0.0,-4.1966667,-4.1966667
76128533B74938989340684,Bara Banki,2018-07-27,contained_grid,1.472,2.26,5.2132497,14.634998,0.00040806382,0.00060742791,4.900694e-05,5,Low Modelled Signal,False,1.472,0.0,0.0,0.0,0.0,-1.472,-1.472
76128533B15567489974292,Baramula,2018-07-27,contained_grid,5.8233337,6.7200003,2.1295831,2.7599995,0.00088807382,0.0012274344,0.00015748128,3,Low Modelled Signal,False,5.8233337,0.73039502,1.3255925,0.72004795,1.3100719,-5.1032858,-5.0929389
76128533B98308664713511,Baran,2018-07-27,contained_grid,23.685001,58.040001,0.163875,0.38749999,0.020656515,0.041125506,0.0011841346,10,Low Modelled Signal,False,23.685001,18.943474,52.645592,18.931057,52.630074,-4.7539444,-4.7415276
76128533B59121537940607,Barddhaman,2018-07-27,contained_grid,15.367,54.789997,31.471249,48.272499,0.060626529,0.12827875,0.0028820795,10,Heavy Rain Watch,False,15.367,9.9725924,49.395588,9.9570713,49.38007,-5.4099283,-5.3944073
76128533B68554447699730,Bareilly,2018-07-27,contained_grid,4.85,12.92,46.126503,69.010002,0.003007889,0.006768412,0.00031759153,5,Low Modelled Signal,False,4.85,1.5051185,7.5255923,1.5020144,7.5100718,-3.3479855,-3.3448815
76128533B74482494441458,Bargarh,2018-07-27,contained_grid,6.0774999,12.869999,2.0875001,3.5949998,0.0076093003,0.019306693,0.0025871745,8,Low Modelled Signal,False,6.0774999,2.182796,7.4755912,2.1750355,7.4600706,-3.9024644,-3.8947039
76128533B75922461866405,Barmer,2018-07-27,contained_grid,0.1015,0.43,0.0053750002,0.215,0.00029832829,0.00056528847,3.7067373e-05,40,Low Modelled Signal,False,0.1015,0.0,0.0,0.0,0.0,-0.1015,-0.1015
76128533B39051871473194,Barnala,2018-07-27,contained_grid,3.2350001,3.8300002,0.0062499996,0.012499999,0.0024142531,0.0027716905,0.00018002868,2,Low Modelled Signal,False,3.2350001,0.0,0.0,0.0,0.0,-3.2350001,-3.2350001
76128533B47772746709007,Barpeta,2018-07-27,contained_grid,42.77,61.710003,5.2899995,11.384998,0.023476657,0.033955567,0.002412393,4,Low Modelled Signal,False,42.77,37.375591,56.315594,37.360073,56.300076,-5.4099274,-5.3944092
76128533B668165975951,Barwani,2018-07-27,contained_grid,4.2862501,5.1500001,0.050312497,0.30749997,0.0014129331,0.001893685,0.00014477932,8,Low Modelled Signal,False,4.2862501,0.0,0.0,0.0,0.0,-4.2862501,-4.2862501
76128533B47840093719460,Bastar,2018-07-27,contained_grid,10.102858,13.370001,1.8455356,6.1074996,0.0040255892,0.0057984754,0.00039763967,7,Low Modelled Signal,False,10.102858,4.8819361,7.9755931,4.8686333,7.9600725,-5.2342243,-5.2209215
76128533B18648944871057,Basti,2018-07-27,contained_grid,5.1450005,14.460001,7.86625,15.85,0.0085405009,0.022363039,0.0034549483,4,Low Modelled Signal,False,5.1450005,2.2663984,9.0655937,2.2625182,9.0500727,-2.8824823,-2.878602
